Time,calib,upstream,downstream
5851.93,0.600818,-0.089675,0.125409
5851.94,0.600818,-0.155104,0.084394
5851.95,0.601794,-0.213698,0.048261
5851.96,0.601794,-0.248854,0.013104
5851.97,0.600818,-0.248854,-0.020099
5851.98,0.600818,-0.259596,-0.051349
5851.99,0.601794,-0.273268,-0.081622
5852,0.600818,-0.276198,-0.106036
5852.01,0.599841,-0.277175,-0.13338
5852.02,0.600818,-0.271315,-0.154864
5852.03,0.599841,-0.264479,-0.173419
5852.04,0.599841,-0.254714,-0.19588
5852.05,0.600818,-0.242995,-0.215411
5852.06,0.600818,-0.228347,-0.229083
5852.07,0.600818,-0.210768,-0.236896
5852.08,0.600818,-0.191237,-0.241778
5852.09,0.599841,-0.166823,-0.243731
5852.1,0.600818,-0.140456,-0.234942
5852.11,0.600818,-0.104323,-0.225177
5852.12,0.600818,-0.07405,-0.215411
5852.13,0.600818,-0.03694,-0.196856
5852.14,0.599841,0.011888,-0.175372
5852.15,0.600818,0.057786,-0.149005
5852.16,0.599841,0.108568,-0.122638
5852.17,0.601794,0.152513,-0.095294
5852.18,0.600818,0.196458,-0.063067
5852.19,0.600818,0.236497,-0.029864
5852.2,0.598865,0.270677,0.000409
5852.21,0.600818,0.299974,0.031659
5852.22,0.599841,0.320482,0.060956
5852.23,0.599841,0.339036,0.091229
5852.24,0.600818,0.346849,0.126386
5852.25,0.600818,0.355638,0.159589
5852.26,0.599841,0.354661,0.189862
5852.27,0.601794,0.350755,0.217206
5852.28,0.599841,0.317552,0.245526
5852.29,0.600818,0.307786,0.270917
5852.3,0.598865,0.304857,0.292401
5852.31,0.600818,0.302904,0.310956
5852.32,0.600818,0.286302,0.326581
5852.33,0.601794,0.263841,0.33537
5852.34,0.600818,0.246263,0.339276
5852.35,0.601794,0.189622,0.336347
5852.36,0.600818,0.148607,0.325604
5852.37,0.601794,0.112474,0.309003
5852.38,0.600818,0.073411,0.286542
5852.39,0.601794,0.067552,0.259198
5852.4,0.599841,0.024583,0.229901
5852.41,0.598865,-0.003737,0.146894
5852.42,0.600818,-0.057448,0.139081
5852.43,0.600818,-0.088698,0.123456
5852.44,0.600818,-0.149245,0.084394
5852.45,0.599841,-0.208815,0.047284
5852.46,0.601794,-0.245925,0.012128
5852.47,0.600818,-0.248854,-0.018146
5852.48,0.599841,-0.260573,-0.049396
5852.49,0.598865,-0.274245,-0.077716
5852.5,0.598865,-0.276198,-0.101153
5852.51,0.600818,-0.276198,-0.128497
5852.52,0.598865,-0.271315,-0.152911
5852.53,0.600818,-0.264479,-0.175372
5852.54,0.600818,-0.254714,-0.19295
5852.55,0.600818,-0.242018,-0.210528
5852.56,0.600818,-0.228347,-0.2242
5852.57,0.601794,-0.208815,-0.233966
5852.58,0.599841,-0.190261,-0.236896
5852.59,0.600818,-0.166823,-0.238849
5852.6,0.601794,-0.139479,-0.233966
5852.61,0.600818,-0.108229,-0.229083
5852.62,0.599841,-0.07405,-0.215411
5852.63,0.600818,-0.034011,-0.197833
5852.64,0.599841,0.007982,-0.176349
5852.65,0.600818,0.051927,-0.151935
5852.66,0.599841,0.100755,-0.123614
5852.67,0.599841,0.14763,-0.097247
5852.68,0.599841,0.192552,-0.068927
5852.69,0.600818,0.229661,-0.034747
5852.7,0.598865,0.264818,-0.003497
5852.71,0.600818,0.292161,0.027753
5852.72,0.600818,0.315599,0.058026
5852.73,0.600818,0.329271,0.093183
5852.74,0.600818,0.341966,0.125409
5852.75,0.601794,0.347825,0.156659
5852.76,0.600818,0.348802,0.186933
5852.77,0.600818,0.346849,0.217206
5852.78,0.599841,0.333177,0.243573
5852.79,0.600818,0.325364,0.267011
5852.8,0.600818,0.316575,0.290448
5852.81,0.600818,0.302904,0.308026
5852.82,0.601794,0.283372,0.320722
5852.83,0.599841,0.260911,0.328534
5852.84,0.599841,0.223802,0.333417
5852.85,0.600818,0.17888,0.329511
5852.86,0.600818,0.148607,0.318769
5852.87,0.600818,0.111497,0.300214
5852.88,0.601794,0.074388,0.279706
5852.89,0.599841,0.074388,0.253339
5852.9,0.599841,0.036302,0.220136
5852.91,0.600818,-0.016432,0.188886
5852.92,0.599841,-0.044753,0.153729
5852.93,0.599841,-0.087722,0.117597
5852.94,0.599841,-0.160964,0.078534
5852.95,0.601794,-0.207839,0.046308
5852.96,0.602771,-0.240065,0.010175
5852.97,0.599841,-0.242995,-0.022052
5852.98,0.599841,-0.254714,-0.052325
5852.99,0.600818,-0.269362,-0.080646
