Time,calib,bad,upstream,downstream
5966.11,0.600818,0.222825,0.222825,-0.128497
5966.12,0.599841,0.267747,0.267747,-0.096271
5966.13,0.599841,0.307786,0.307786,-0.056231
5966.14,0.599841,0.340989,0.340989,-0.027911
5966.15,0.600818,0.373216,0.373216,0.032636
5966.16,0.600818,0.3947,0.3947,0.075604
5966.17,0.601794,0.413255,0.413255,0.125409
5966.18,0.600818,0.422044,0.422044,0.173261
5966.19,0.598865,0.429857,0.429857,0.216229
5966.2,0.601794,0.42888,0.42888,0.232831
5966.21,0.599841,0.426927,0.426927,0.285565
5966.22,0.600818,0.414232,0.414232,0.33537
5966.23,0.600818,0.402513,0.402513,0.396894
5966.24,0.600818,0.383958,0.383958,0.423261
5966.25,0.600818,0.327318,0.327318,0.445722
5966.26,0.600818,0.30388,0.30388,0.462323
5966.27,0.599841,0.30681,0.30681,0.470136
5966.28,0.599841,0.274583,0.274583,0.454511
5966.29,0.599841,0.203294,0.203294,0.434979
5966.3,0.600818,0.153489,0.153489,0.410565
5966.31,0.600818,0.105638,0.105638,0.364667
5966.32,0.602771,0.055833,0.055833,0.322675
5966.33,0.599841,0.003099,0.003099,0.265058
5966.34,0.602771,-0.051589,-0.051589,0.188886
5966.35,0.599841,-0.106276,-0.106276,0.141034
5966.36,0.600818,-0.139479,-0.139479,0.093183
5966.37,0.600818,-0.159987,-0.159987,0.074628
5966.38,0.600818,-0.208815,-0.208815,0.02287
5966.39,0.599841,-0.283034,-0.283034,0.001386
5966.4,0.599841,-0.310378,-0.310378,-0.030841
5966.41,0.601794,-0.311354,-0.311354,-0.065021
5966.42,0.601794,-0.325026,-0.325026,-0.095294
5966.43,0.599841,-0.335768,-0.335768,-0.128497
5966.44,0.600818,-0.336745,-0.336745,-0.159747
5966.45,0.599841,-0.337721,-0.337721,-0.191974
5966.46,0.601794,-0.330886,-0.330886,-0.221271
5966.47,0.599841,-0.323073,-0.323073,-0.249591
5966.48,0.600818,-0.307448,-0.307448,-0.269122
5966.49,0.600818,-0.294753,-0.294753,-0.287677
5966.5,0.599841,-0.274245,-0.274245,-0.296466
5966.51,0.601794,-0.248854,-0.248854,-0.301349
5966.52,0.601794,-0.215651,-0.215651,-0.285724
5966.53,0.601794,-0.182448,-0.182448,-0.276935
5966.54,0.599841,-0.139479,-0.139479,-0.277911
5966.55,0.599841,-0.095534,-0.095534,-0.267169
5966.56,0.599841,-0.044753,-0.044753,-0.239825
5966.57,0.599841,0.008958,0.008958,-0.217364
5966.58,0.601794,0.060716,0.060716,-0.19588
5966.59,0.601794,0.117357,0.117357,-0.171466
5966.6,0.600818,0.172044,0.172044,-0.150958
5966.61,0.600818,0.224778,0.224778,-0.122638
5966.62,0.600818,0.270677,0.270677,-0.087481
5966.63,0.600818,0.311693,0.311693,-0.051349
5966.64,0.600818,0.346849,0.346849,-0.01131
5966.65,0.599841,0.375169,0.375169,0.036542
5966.66,0.598865,0.39763,0.39763,0.079511
5966.67,0.600818,0.413255,0.413255,0.125409
5966.68,0.600818,0.423021,0.423021,0.174237
5966.69,0.600818,0.42888,0.42888,0.209394
5966.7,0.602771,0.426927,0.426927,-0.393146
5966.71,0.602771,0.422044,0.422044,-0.332599
5966.72,0.600818,0.409349,0.409349,0.345136
5966.73,0.600818,0.39763,0.39763,0.395917
5966.74,0.599841,0.367357,0.367357,0.420331
5966.75,0.598865,0.328294,0.328294,0.444745
5966.76,0.600818,0.299974,0.299974,0.459394
5966.77,0.601794,0.283372,0.283372,0.465253
5966.78,0.600818,0.284349,0.284349,0.445722
5966.79,0.601794,0.220872,0.220872,0.430097
5966.8,0.601794,0.158372,0.158372,0.382245
5966.81,0.600818,0.114427,0.114427,0.344159
5966.82,0.601794,0.059739,0.059739,0.311933
5966.83,0.599841,0.008958,0.008958,0.255292
5966.84,0.599841,-0.045729,-0.045729,0.180097
5966.85,0.600818,-0.092604,-0.092604,0.138104
5966.86,0.599841,-0.137526,-0.137526,0.087323
5966.87,0.600818,-0.157057,-0.157057,0.05705
5966.88,0.601794,-0.19905,-0.19905,0.021894
5966.89,0.600818,-0.269362,-0.269362,-0.002521
5966.9,0.602771,-0.309401,-0.309401,-0.035724
5966.91,0.601794,-0.301589,-0.301589,-0.066974
5966.92,0.600818,-0.31819,-0.31819,-0.10213
5966.93,0.599841,-0.32405,-0.32405,-0.13045
5966.94,0.599841,-0.330886,-0.330886,-0.165606
5966.95,0.599841,-0.326003,-0.326003,-0.197833
5966.96,0.600818,-0.325026,-0.325026,-0.228106
5966.97,0.599841,-0.313307,-0.313307,-0.254474
5966.98,0.601794,-0.301589,-0.301589,-0.277911
5966.99,0.601794,-0.28694,-0.28694,-0.297442
5967,0.600818,-0.266432,-0.266432,-0.303302
5967.01,0.601794,-0.241042,-0.241042,-0.310138
5967.02,0.600818,-0.211745,-0.211745,-0.297442
5967.03,0.600818,-0.180495,-0.180495,-0.290606
5967.04,0.600818,-0.138503,-0.138503,-0.284747
5967.05,0.600818,-0.093581,-0.093581,-0.264239
5967.06,0.599841,-0.044753,-0.044753,-0.244708
5967.07,0.600818,0.006028,0.006028,-0.221271
5967.08,0.600818,0.048021,0.048021,-0.194903
5967.09,0.599841,0.097825,0.097825,-0.172442
5967.1,0.600818,0.176927,0.176927,-0.149005
5967.11,0.599841,0.225755,0.225755,-0.122638
5967.12,0.600818,0.274583,0.274583,-0.088458
5967.13,0.602771,0.312669,0.312669,-0.045489
5967.14,0.601794,0.347825,0.347825,-0.001544
5967.15,0.601794,0.374193,0.374193,0.044354
5967.16,0.599841,0.3947,0.3947,0.089276
5967.17,0.600818,0.409349,0.409349,0.136151
5967.18,0.599841,0.421068,0.421068,0.18205
5967.19,0.599841,0.423997,0.423997,0.229901
5967.2,0.598865,0.422044,0.422044,0.245526
5967.21,0.598865,0.418138,0.418138,-0.313067
5967.22,0.600818,0.407396,0.407396,0.356854
5967.23,0.602771,0.393724,0.393724,0.412519
5967.24,0.599841,0.377122,0.377122,0.436933
5967.25,0.600818,0.344896,0.344896,0.45744
5967.26,0.601794,0.298997,0.298997,0.473065
5967.27,0.600818,0.267747,0.267747,0.479901
5967.28,0.600818,0.271654,0.271654,0.4633
5967.29,0.600818,0.212083,0.212083,0.437909
