wavelength,absoption,yes/no
190,0.051,0
192,0.0629,0
194,0.0503,0
196,0.0568,0
198,0.0549,0
200,0.0513,0
202,0.0811,0
204,0.0669,0
206,0.0594,0
208,0.0355,0
210,0.0562,0
212,0.0582,0
214,0.0444,0
216,0.0478,0
218,0.0498,0
220,0.0573,0
222,0.0556,0
224,0.0433,0
226,0.063,0
228,0.0489,0
230,0.0431,0
232,0.0715,0
234,0.0612,0
236,0.0386,0
238,0.0398,0
240,0.0632,0
242,0.065,0
244,0.0636,0
246,0.0604,0
248,0.1137,0
250,0.4391,0
252,1.1338,0
254,1.5907,0
256,1.8725,0
258,1.9946,0
260,2.0751,0
262,2.1215,0
264,2.1612,0
266,2.2108,0
268,2.2566,0
270,2.2834,0
272,2.3541,0
274,2.3809,0
276,2.4377,0
278,2.4942,0
280,2.5392,0
282,2.5429,0
284,2.4839,0
286,2.1759,0
288,1.7785,1
290,1.6167,1
292,1.7153,1
294,1.3498,1
296,0.8513,1
298,0.5747,1
300,0.426,1
302,0.3358,1
304,0.2659,1
306,0.2152,1
308,0.1799,1
310,0.1573,1
312,0.1448,1
314,0.1373,1
316,0.1316,1
318,0.126,1
320,0.1221,1
322,0.1199,1
324,0.1198,1
326,0.1201,1
328,0.1183,1
330,0.1121,1
332,0.1008,1
334,0.0867,1
336,0.073,1
338,0.0618,1
340,0.053,1
342,0.0467,1
344,0.042,1
346,0.0386,1
348,0.0358,1
350,0.0335,1
352,0.0315,1
354,0.0299,1
356,0.0284,1
358,0.0271,1
360,0.0257,1
362,0.0238,1
364,0.013,1
366,0.0272,1
368,0.0218,1
370,0.0209,1
372,0.0203,1
374,0.0197,1
376,0.0191,1
378,0.0188,1
380,0.0184,1
382,0.0185,1
384,0.0189,1
386,0.019,1
388,0.0194,1
390,0.0199,1
392,0.0206,1
394,0.0208,1
396,0.0209,1
398,0.0209,1
400,0.0201,1
402,0.0191,1
404,0.0198,1
406,0.0188,1
408,0.0182,1
410,0.0181,1
412,0.0189,1
414,0.0186,1
416,0.0186,1
418,0.019,1
420,0.0208,1
422,0.022,1
424,0.0216,1
426,0.0225,1
428,0.0231,1
430,0.0246,1
432,0.0239,1
434,0.025,1
436,0.0262,1
438,0.0273,1
440,0.0285,1
442,0.0289,1
444,0.0298,1
446,0.0304,1
448,0.0312,1
450,0.0311,1
452,0.0329,1
454,0.0347,1
456,0.0363,1
458,0.039,1
460,0.0394,1
462,0.0403,1
464,0.0437,1
466,0.0434,1
468,0.0439,1
470,0.0427,1
472,0.0459,1
474,0.0465,1
476,0.0486,1
478,0.0494,1
480,0.0513,1
482,0.053,1
484,0.0549,1
486,0.0602,1
488,0.0559,1
490,0.0566,1
492,0.0575,1
494,0.0569,1
496,0.0592,1
498,0.0604,1
500,0.0609,1
502,0.0616,1
504,0.0615,1
506,0.0605,1
508,0.0609,1
510,0.0619,1
512,0.061,1
514,0.0611,1
516,0.0616,1
518,0.063,1
520,0.0628,1
522,0.0626,1
524,0.0644,1
526,0.0671,1
528,0.0688,1
530,0.069,1
532,0.0726,1
534,0.0752,1
536,0.076,1
538,0.0796,1
540,0.0821,1
542,0.0856,1
544,0.088,1
546,0.0922,1
548,0.0955,1
550,0.0991,1
552,0.1043,1
554,0.1081,1
556,0.1134,1
558,0.1181,1
560,0.1248,1
562,0.1305,1
564,0.1374,1
566,0.149,1
568,0.1587,1
570,0.1682,1
572,0.1758,1
574,0.1861,1
576,0.204,1
578,0.2258,1
580,0.2559,1
582,0.2639,1
584,0.2712,1
586,0.2517,1
588,0.2517,1
590,0.2651,1
592,0.285,1
594,0.2952,1
596,0.3057,1
598,0.3282,1
600,0.3419,1
602,0.356,1
604,0.3519,1
606,0.379,1
608,0.3925,1
610,0.3983,1
612,0.403,1
614,0.4073,1
616,0.4068,1
618,0.4066,1
620,0.408,1
622,0.4149,1
624,0.4144,1
626,0.4192,1
628,0.4242,1
630,0.4301,1
632,0.4447,1
634,0.4598,1
636,0.4757,1
638,0.4908,1
640,0.5095,1
642,0.5324,1
644,0.5524,1
646,0.5786,1
648,0.608,1
650,0.6326,1
652,0.6935,1
654,0.7167,1
656,0.6983,1
658,0.6923,1
660,0.6988,1
662,0.7101,1
664,0.7014,1
666,0.697,1
668,0.6901,1
670,0.6676,1
672,0.6305,1
674,0.5839,1
676,0.5338,1
678,0.4788,1
680,0.4198,1
682,0.366,1
684,0.3125,1
686,0.2632,1
688,0.2271,1
690,0.1939,1
692,0.1638,1
694,0.1398,1
696,0.1269,1
698,0.1024,1
700,0.0882,1
702,0.0817,1
704,0.0708,1
706,0.0732,1
708,0.0514,1
710,0.0547,1
712,0.0535,1
714,0.0475,1
716,0.0403,1
718,0.0461,1
720,0.0401,1
722,0.0423,1
724,0.0487,1
726,0.043,1
728,0.0436,1
730,0.0479,1
732,0.0445,1
734,0.0519,1
736,0.045,1
738,0.0416,1
740,0.0349,1
742,0.0352,1
744,0.0454,1
746,0.0491,1
748,0.043,1
750,0.0423,1
752,0.0407,1
754,0.0426,1
756,0.0523,1
758,0.0434,1
760,0.0406,1
762,0.0409,1
764,0.0422,1
766,0.0297,1
768,0.0481,1
770,0.0411,1
772,0.033,1
774,0.0283,1
776,0.0345,1
778,0.0443,1
780,0.0359,1
782,0.0283,1
784,0.0199,1
786,0.0253,1
788,0.0349,1
790,0.0318,1
792,0.0294,1
794,0.0403,1
796,0.0241,1
798,0.0245,1
800,0.0379,1
802,0.0265,1
804,0.0257,1
806,0.039,1
808,0.0333,1
810,0.028,1
812,0.0221,1
814,0.0263,1
816,0.0324,1
818,0.0224,1
820,0.0372,1
