wavelength,0,1,2,3,4,5
190,-0.0024,0.0116,0.002,0.0027,0.0228,0.0199
192,-0.008,0.0256,0.0024,0.0012,0.043,0.0355
194,0.0046,0.019,-0.0033,-0.0062,0.0286,0.033
196,0.0088,0.0221,0.008,0.005,0.0284,0.0196
198,-0.0111,0.0167,0.006,0.0087,0.0345,0.0289
200,-0.0054,0.0005,-0.0257,0.001,0.0088,0.0168
202,0.0137,0.0386,0.0137,0.0205,0.0377,0.0463
204,0.0043,0.022,0.0099,0.009,0.0416,0.0235
206,0.0077,0.0287,0.0191,0.0206,0.0416,0.0507
208,-0.0026,0.0134,-0.0184,-0.0184,0.0021,0.0144
210,-0.0115,0.0156,0.009,0.0032,0.0415,0.0346
212,0.0021,0.0208,0.007,0.007,0.0356,0.0321
214,0.0056,0.0039,0.0106,0.0033,0.0348,0
216,-0.0226,0.0198,-0.0054,-0.005,0.0273,0.0192
218,-0.0072,0.0016,-0.0022,-0.012,0.0089,0.0169
220,0.0016,0.0422,0.0087,0.0209,0.0393,0.0422
222,0.0064,0.0272,0.0156,0.0096,0.058,0.03
224,0.0005,0.0171,0.0076,0.0038,0.0211,0.0143
226,-0.0015,0.022,0.0058,0.0187,0.0355,0.0401
228,-0.0101,0.013,0.0065,0.0032,0.0187,0.0411
230,-0.0184,0.0196,-0.0017,0.0043,0.0269,0.0075
232,-0.0169,0.0122,-0.0114,0.0149,0.0348,0.0411
234,0.0124,0.0323,0.0172,0.0193,0.0434,0.0423
236,-0.0264,-0.0079,-0.0063,-0.0142,0.0214,0.0175
238,-0.0048,0.0128,0.0123,0.0123,0.0352,0.0227
240,-0.0112,0.0098,-0.0143,-0.008,0.0394,0.033
242,-0.0151,0.0096,0.0053,0.0059,0.029,0.0245
244,-0.013,0.0062,0.0034,0.0112,0.0233,0.0517
246,-0.0069,0.012,0.0071,0.0038,0.047,0.0266
248,0.007,0.0376,0.0279,0.0306,0.06,0.0537
250,-0.0034,0.0361,0.0442,0.0638,0.1089,0.0992
252,0.0004,0.0474,0.0603,0.0848,0.1403,0.1294
254,-0.0005,0.0481,0.0578,0.082,0.1371,0.1276
256,-0.0007,0.0474,0.0537,0.0775,0.1305,0.1217
258,-0.0008,0.0471,0.0518,0.0741,0.1259,0.1175
260,-0.001,0.0464,0.0507,0.0733,0.1236,0.1161
262,-0.0007,0.0466,0.0518,0.0752,0.1252,0.1182
264,-0.0012,0.047,0.0545,0.08,0.1303,0.1242
266,-0.0013,0.0485,0.0593,0.0873,0.1387,0.1342
268,-0.0011,0.0507,0.0656,0.0971,0.1499,0.1464
270,-0.0011,0.0534,0.0724,0.1075,0.1618,0.1603
272,-0.0014,0.0555,0.0788,0.1177,0.1744,0.1742
274,-0.0013,0.0588,0.0866,0.1298,0.1887,0.1901
276,-0.0013,0.0624,0.0956,0.1439,0.2064,0.2091
278,-0.0012,0.0675,0.1068,0.1609,0.2278,0.2323
280,-0.0014,0.0729,0.1188,0.1796,0.252,0.258
282,-0.0015,0.079,0.132,0.1998,0.2782,0.2858
284,-0.0014,0.0854,0.1458,0.221,0.305,0.3142
286,-0.0014,0.0922,0.1602,0.2432,0.3337,0.3442
288,-0.0013,0.0996,0.1747,0.2651,0.3626,0.3746
290,-0.0015,0.1054,0.1861,0.2819,0.3851,0.3981
292,-0.0014,0.1074,0.1902,0.288,0.3932,0.4062
294,-0.0014,0.1047,0.1848,0.28,0.3825,0.3949
296,-0.0013,0.0984,0.1709,0.2595,0.3565,0.367
298,-0.0015,0.089,0.1517,0.2306,0.3196,0.328
300,-0.0015,0.0785,0.1298,0.1983,0.2773,0.2833
302,-0.0015,0.0683,0.1082,0.1659,0.2363,0.2398
304,-0.0015,0.0583,0.0888,0.1366,0.1975,0.199
306,-0.0015,0.0504,0.0721,0.1118,0.1653,0.1651
308,-0.0014,0.0441,0.059,0.0923,0.1397,0.1384
310,-0.0015,0.0393,0.0496,0.0785,0.1214,0.1193
312,-0.0015,0.0363,0.0439,0.0696,0.1096,0.1071
314,-0.0015,0.0345,0.0405,0.0644,0.1021,0.0998
316,-0.0015,0.0331,0.0382,0.0609,0.0971,0.0946
